rank,platform,keyword_theme,working_title,angle,primary_audience,format,canonical_strategy,cta,status,priority_score
1,Medium,why webinar reminders fail,Why Webinar Reminders Fail When the Inbox Gets Crowded,Explain the visibility problem in webinar funnels and show why surface-level reminder placement matters more than adding more email volume,webinar operators,essay,Canonical to ShowFi if republished,See how ShowFi uses wallet passes to surface reminders when webinars are about to start,ready,96
2,LinkedIn Articles,booked call show rate,Booked Calls Do Not Have a Lead Problem. They Have a Visibility Problem,Operator POV for agency owners and sales leaders on why booked calls get missed even in healthy funnels,agency owners and sales teams,article or newsletter,Original or heavy rewrite,ShowFi is one implementation path for wallet-based booked-call reminders,ready,95
3,LinkedIn Newsletter,attendance systems newsletter,Attendance Systems: Why Good Reminders Still Miss the Event Moment,Turn LinkedIn's built-in newsletter subscriptions into a recurring operator series on retrieval friction and wallet visibility near the live moment; keep it as a single founder-led newsletter because LinkedIn caps authors at five newsletters and the first issue drives the main subscriber invite,agency owners revops leaders and webinar operators,newsletter edition,Original only,Point readers to ShowFi examples only after the framework lands,ready,94
4,Substack,inbox-first reminder systems,Inbox-First Reminder Systems Underperform at the Worst Possible Moment,Memo-style category piece on why email and SMS fail near the event moment and what operators should do instead,operators and consultants,newsletter essay,Original only,Invite readers to review wallet reminder examples on ShowFi.io,ready,94
5,Hashnode,GoHighLevel wallet passes,How Agencies Can Use GoHighLevel With Wallet Passes for Better Show Rate,Technical-operational walkthrough for agencies using GHL and wallet claims to improve attendance; prefer Hashnode as the original home when ShowFi can publish on a Hashnode custom domain,technical marketers and revops builders,tutorial,Prefer original on Hashnode; canonical from derivatives,Use ShowFi instead of building the wallet layer from scratch,ready,93
6,DEV Community,event reminder automation,Building an Event Reminder System That Does Not Depend on the Inbox,Developer-facing architecture piece for wallet-trigger reminder flows across booked calls and events,developers and automation builders,tutorial,Canonical if adapted,ShowFi is the implementation shortcut if you do not want to build the stack,ready,90
7,CMSWire,journey retrieval friction,Customers Keep Commitments When the Next Step Stays Visible,High-trust CX and DX contribution framing attendance and appointment follow-through as a retrieval-friction problem at the live moment; CMSWire's live 2026 editorial calendar now gives this draft a timely `Journey-Led Transformation` and `Predictive Stack` fit instead of a generic evergreen pitch,digital experience leaders,editorial contribution,Original only,Author bio only and no product-led body copy,ready,91
8,DestinationCRM,CRM follow-through design,Why Customers Miss Appointments and Events They Intended to Keep,CRM and CX Viewpoints piece on follow-through design and retrieval friction for demos onboarding sessions webinars and service appointments; the current Viewpoints guidelines are unusually explicit and make this a stronger open editorial lane than softer martech contributor paths,CRM leaders and CX operators,Viewpoints contributed article,Original only,Use author bio only and keep the body vendor-neutral,ready,89
9,MarketingProfs,webinar attendance marketing ops,Why Webinar Attendance Breaks After Registration and What B2B Marketers Should Fix,Enterprise B2B marketing how-to piece framing attendance loss as a post-conversion operations problem rather than a top-of-funnel problem; MarketingProfs explicitly covers Event Marketing Marketing Operations and Customer Experience so the fit is stronger than a generic martech pitch even though the queue is slower,B2B marketers and demand-gen leaders,how-to article,Original on MarketingProfs first; republish only after publication with attribution back to MarketingProfs,Use a restrained bio CTA pointing to ShowFi's wallet reminder workflows,ready,88
10,CustomerThink,approved-author attendance visibility,Customers Keep More Commitments When the Next Step Stays Visible,Shorter approved-author lane built for CustomerThink's faster moderator review: a single-author first-person executive post for CX service and revenue leaders on follow-through visibility across demos webinars onboarding and service appointments,heads of CX service and revenue operations,approved-author blog,Original only; later reprints require CustomerThink permission plus attribution to the original URL,Keep product language in the author bio and use branded or plain links only if needed,ready,88
11,CX Today,customer commitment visibility,The Last Mile of Customer Commitment Is a Visibility Problem,Frame missed demos webinars appointments and onboarding sessions as a visibility and recoverability problem inside the customer journey rather than a reminder-frequency problem; CX Today's live guest-blog checklist is explicit enough to treat this as a real near-term lane because the current draft already fits the 500 to 1,000-word window and the body-link ban keeps the piece category-led,CX leaders and CRM or contact-center operators,guest article,Original only,Use author bio only and keep the body vendor-neutral,ready,87
12,MarketingTech News,Apple Wallet pass software for marketers,Why Apple Wallet Pass Software Belongs in the Modern Marketing Stack,Strategic thought leadership for marketers who already use landing pages email and SMS but still lose attendance,martech buyers and marketers,thought leadership,Ask editor,ShowFi offers Apple Wallet and Google Wallet flows for attendance-focused teams,pitch,85
